# information file for lightcone
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (350.000000 - 0.000000) Mpc/h
# opening half-angle = 30.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   113   2.863546e+01   8.770954e-01   1.069565685898   1.470927559014   0.853803083502   1.689973652492
   114   2.903379e+01   9.131941e-01   0.674567547101   1.069565685898   0.462415499134   1.285328288295
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (350.000000 - 0.000000) Mpc/h
# opening half-angle = 30.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   113   2.863546e+01   8.770954e-01   1.069565685898   1.470927559014   0.853803083502   1.689973652492
   114   2.903379e+01   9.131941e-01   0.674567547101   1.069565685898   0.462415499134   1.285328288295
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (350.000000 - 0.000000) Mpc/h
# opening half-angle = 30.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   113   2.863546e+01   8.770954e-01   1.069565685898   1.470927559014   0.853803083502   1.689973652492
   114   2.903379e+01   9.131941e-01   0.674567547101   1.069565685898   0.462415499134   1.285328288295
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (350.000000 - 0.000000) Mpc/h
# opening half-angle = 30.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   113   2.863546e+01   8.770954e-01   1.069565685898   1.470927559014   0.853803083502   1.689973652492
   114   2.903379e+01   9.131941e-01   0.674567547101   1.069565685898   0.462415499134   1.285328288295
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (350.000000 - 0.000000) Mpc/h
# opening half-angle = 30.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   113   2.863546e+01   8.770954e-01   1.069565685898   1.470927559014   0.853803083502   1.689973652492
   114   2.903379e+01   9.131941e-01   0.674567547101   1.069565685898   0.462415499134   1.285328288295
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
   116   2.980990e+01   9.900124e-01   -0.094074842738   0.286511950436   -0.298135686925   0.494753465522
   117   3.018663e+01   1.030863e+00   -0.466723484570   -0.094074842738   -0.666365335702   0.109986001448
# information file for lightcone
# geometric parameters:
# vertex = (0.000000, 0.000000, 0.000000) Mpc/h
# redshift = 0.000000
# distance = (350.000000 - 0.000000) Mpc/h
# opening half-angle = 30.000000 degrees
# direction = (0.577350, 0.577350, 0.577350)
# cycle   tau/boxsize    a              pcl_inner        pcl_outer        metric_inner     metric_outer
   113   2.863546e+01   8.770954e-01   1.069565685898   1.470927559014   0.853803083502   1.689973652492
   114   2.903379e+01   9.131941e-01   0.674567547101   1.069565685898   0.462415499134   1.285328288295
   115   2.942546e+01   9.508117e-01   0.286511950436   0.674567547101   0.078270435350   0.886719595068
