# power spectrum of hij
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.548748e-20   0.000000e+00   4.342349e-21   6
  2.776802e-02   3.020888e-20   0.000000e+00   5.779936e-21   12
  3.400874e-02   1.277875e-20   3.725290e-10   1.336027e-21   8
  3.926991e-02   9.620094e-21   0.000000e+00   1.365311e-21   6
  4.390509e-02   9.571332e-21   0.000000e+00   8.563986e-22   24
  4.809562e-02   6.879659e-21   7.024475e-10   9.094572e-22   24
  5.553604e-02   4.717352e-21   0.000000e+00   7.728582e-22   12
  5.890486e-02   2.968526e-21   7.947286e-10   5.268649e-22   30
  6.209118e-02   2.785070e-21   0.000000e+00   4.182850e-22   24
  6.512178e-02   2.504773e-21   1.216675e-09   3.750634e-22   24
  6.801748e-02   4.964023e-22   7.450581e-10   1.704199e-22   8
  7.079483e-02   2.522434e-21   9.934107e-10   2.364135e-22   24
  7.346727e-02   1.321072e-21   0.000000e+00   1.460700e-22   48
  7.853982e-02   1.011982e-21   0.000000e+00   1.461540e-22   6
  8.095699e-02   1.200061e-21   1.404895e-09   1.290697e-22   48
  8.330406e-02   1.131930e-21   0.000000e+00   1.320807e-22   36
  8.558678e-02   5.976547e-22   9.934107e-10   1.026612e-22   24
  8.781018e-02   9.868502e-22   0.000000e+00   1.933708e-22   24
  8.997866e-02   8.961093e-22   0.000000e+00   7.454877e-23   48
  9.209610e-02   1.054380e-21   1.404895e-09   2.229704e-22   24
  9.619124e-02   6.922615e-22   1.404895e-09   1.046077e-22   24
  9.817477e-02   7.141722e-22   0.000000e+00   8.200615e-23   30
  1.001190e-01   5.824689e-22   0.000000e+00   4.759697e-23   72
  1.020262e-01   6.590509e-22   1.490116e-09   6.971243e-23   32
  1.057375e-01   6.522865e-22   0.000000e+00   5.935009e-23   72
  1.075451e-01   5.852572e-22   0.000000e+00   5.614793e-23   48
  1.110721e-01   5.868928e-22   0.000000e+00   1.109799e-22   12
  1.127942e-01   4.778304e-22   0.000000e+00   4.228963e-23   48
  1.144905e-01   3.943317e-22   0.000000e+00   3.819827e-23   48
  1.161620e-01   3.457204e-22   1.404895e-09   3.412754e-23   48
  1.178097e-01   3.892144e-22   1.589457e-09   5.140785e-23   30
  1.194348e-01   3.558081e-22   1.404895e-09   3.283460e-23   24
  1.210380e-01   3.705248e-22   2.961779e-09   2.932456e-23   72
  1.241824e-01   2.615753e-22   0.000000e+00   3.229555e-23   24
  1.257251e-01   3.172706e-22   0.000000e+00   2.169805e-23   96
  1.272490e-01   2.706060e-22   0.000000e+00   3.434540e-23   48
  1.287550e-01   1.774325e-22   2.433349e-09   2.149655e-23   24
  1.302436e-01   2.388289e-22   2.433349e-09   3.044963e-23   24
  1.317153e-01   1.890025e-22   0.000000e+00   1.773810e-23   72
  1.331707e-01   2.793664e-22   0.000000e+00   2.635866e-23   48
  1.360350e-01   1.753066e-22   1.490116e-09   4.469683e-23   8
  1.374447e-01   2.172471e-22   1.766064e-09   1.792101e-23   54
  1.388401e-01   1.638394e-22   0.000000e+00   1.288687e-23   84
  1.402216e-01   1.345735e-22   0.000000e+00   1.400585e-23   48
  1.415897e-01   1.571083e-22   1.986821e-09   2.598061e-23   24
  1.429446e-01   1.460201e-22   1.873193e-09   1.203232e-23   72
  1.442869e-01   1.638550e-22   0.000000e+00   1.023123e-23   96
  1.469345e-01   1.489752e-22   0.000000e+00   1.291120e-23   48
  1.482407e-01   1.410122e-22   0.000000e+00   1.273844e-23   48
  1.495354e-01   1.742640e-22   1.986821e-09   1.913823e-23   24
  1.508189e-01   1.288616e-22   0.000000e+00   9.259659e-24   72
  1.533539e-01   1.014771e-22   1.873193e-09   9.207929e-24   72
  1.546058e-01   1.028682e-22   0.000000e+00   6.393937e-24   96
  1.570796e-01   9.385657e-23   0.000000e+00   1.069637e-23   6
  1.583021e-01   9.800687e-23   0.000000e+00   6.960775e-24   96
  1.595151e-01   9.656653e-23   1.986821e-09   6.723732e-24   96
  1.607190e-01   1.145591e-22   0.000000e+00   1.517951e-23   24
  1.619140e-01   7.343399e-23   2.809790e-09   7.201876e-24   48
  1.631002e-01   7.272069e-23   0.000000e+00   6.186917e-24   96
  1.642778e-01   8.269985e-23   0.000000e+00   7.996554e-24   48
  1.666081e-01   6.374497e-23   0.000000e+00   5.563693e-24   36
  1.677611e-01   5.610918e-23   3.441276e-09   6.462813e-24   48
  1.689063e-01   5.841330e-23   3.893359e-09   3.066371e-24   120
  1.700437e-01   7.118169e-23   0.000000e+00   6.419557e-24   56
  1.711736e-01   5.677286e-23   1.986821e-09   6.780887e-24   24
  1.722960e-01   5.699672e-23   0.000000e+00   3.994106e-24   96
  1.734112e-01   4.531123e-23   0.000000e+00   5.129536e-24   48
  1.756204e-01   5.911341e-23   0.000000e+00   5.905711e-24   24
  1.767146e-01   4.976851e-23   0.000000e+00   3.594433e-24   102
  1.778021e-01   4.898949e-23   0.000000e+00   3.774501e-24   48
  1.788829e-01   5.285676e-23   0.000000e+00   3.956163e-24   72
  1.799573e-01   5.751638e-23   0.000000e+00   5.465779e-24   48
  1.810253e-01   4.871550e-23   0.000000e+00   4.554637e-24   48
  1.820871e-01   4.850895e-23   4.495664e-09   3.587144e-24   120
  1.841922e-01   3.271311e-23   2.809790e-09   4.080231e-24   24
  1.852358e-01   4.557271e-23   2.649095e-09   2.364948e-24   144
  1.862735e-01   4.605782e-23   3.178914e-09   2.837990e-24   120
  1.873055e-01   4.617609e-23   2.809790e-09   4.708976e-24   48
  1.893526e-01   4.765477e-23   2.809790e-09   4.542599e-24   48
  1.903679e-01   3.856281e-23   2.809790e-09   2.694468e-24   96
  1.930487e-01   3.151192e-23   4.711199e-04   2.150076e-24   72
  1.943761e-01   3.518876e-23   3.532127e-09   2.639740e-24   108
  1.953653e-01   4.087940e-23   0.000000e+00   2.767225e-24   72
  1.963495e-01   2.702740e-23   0.000000e+00   2.936855e-24   30
  1.973288e-01   3.005918e-23   0.000000e+00   1.570390e-24   168
  1.983033e-01   2.838061e-23   0.000000e+00   4.557657e-24   48
  2.002380e-01   3.023092e-23   0.000000e+00   2.383461e-24   72
  2.011984e-01   3.022448e-23   0.000000e+00   2.109904e-24   96
