# power spectrum of phi
# redshift z=50.520088
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   4.723378e-08   0.000000e+00   2.379541e-10   6
  2.776802e-02   3.273587e-08   0.000000e+00   3.206751e-10   12
  3.400874e-02   9.174415e-09   3.725290e-10   1.288326e-10   8
  3.926991e-02   2.676549e-10   0.000000e+00   2.297938e-11   6
  4.390509e-02   1.252514e-09   0.000000e+00   4.237096e-11   24
  4.809562e-02   3.810449e-09   7.024475e-10   5.085532e-11   24
  5.553604e-02   2.897747e-09   0.000000e+00   5.209033e-11   12
  5.890486e-02   1.340713e-09   7.947286e-10   3.062441e-11   30
  6.209118e-02   1.959556e-10   0.000000e+00   1.320345e-11   24
  6.512178e-02   5.130103e-11   1.216675e-09   6.531896e-12   24
  6.801748e-02   3.745531e-10   7.450581e-10   3.804111e-11   8
  7.079483e-02   1.029042e-09   9.934107e-10   2.251551e-11   24
  7.346727e-02   1.316356e-09   0.000000e+00   2.234472e-11   48
  7.853982e-02   1.259758e-09   0.000000e+00   1.129890e-11   6
  8.095699e-02   6.588765e-10   1.404895e-09   1.881442e-11   48
  8.330406e-02   2.838793e-10   0.000000e+00   1.285730e-11   36
  8.558678e-02   3.736515e-11   9.934107e-10   2.783770e-12   24
  8.781018e-02   1.293556e-11   0.000000e+00   1.737434e-12   24
  8.997866e-02   1.160666e-10   0.000000e+00   5.415586e-12   48
  9.209610e-02   3.213310e-10   1.404895e-09   1.549668e-11   24
  9.619124e-02   5.702689e-10   1.404895e-09   1.927710e-11   24
  9.817477e-02   6.223861e-10   0.000000e+00   2.224604e-11   30
  1.001190e-01   5.510042e-10   0.000000e+00   1.308608e-11   72
  1.020262e-01   4.672704e-10   1.490116e-09   1.477792e-11   32
  1.057375e-01   1.311584e-10   0.000000e+00   5.342582e-12   72
  1.075451e-01   4.704144e-11   0.000000e+00   2.896621e-12   48
  1.110721e-01   2.028383e-11   0.000000e+00   1.494633e-12   12
  1.127942e-01   7.622621e-11   0.000000e+00   3.979890e-12   48
  1.144905e-01   1.396192e-10   0.000000e+00   4.841829e-12   48
  1.161620e-01   2.151163e-10   1.404895e-09   5.691386e-12   48
  1.178097e-01   2.681324e-10   1.589457e-09   1.201583e-11   30
  1.194348e-01   2.630942e-10   1.404895e-09   7.721856e-12   24
  1.210380e-01   3.042156e-10   2.961779e-09   5.689531e-12   72
  1.241824e-01   2.669877e-10   0.000000e+00   7.245396e-12   24
  1.257251e-01   1.799753e-10   0.000000e+00   3.949633e-12   96
  1.272490e-01   9.857505e-11   0.000000e+00   3.586112e-12   48
  1.287550e-01   4.735774e-11   2.433349e-09   5.234739e-12   24
  1.302436e-01   2.731193e-11   2.433349e-09   2.718248e-12   24
  1.317153e-01   3.362439e-12   0.000000e+00   2.586442e-13   72
  1.331707e-01   6.121814e-12   0.000000e+00   6.609533e-13   48
  1.360350e-01   5.322216e-11   1.490116e-09   4.940476e-12   8
  1.374447e-01   9.464800e-11   1.766064e-09   3.279734e-12   54
