# power spectrum of B
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.145853e-33   0.000000e+00   1.106540e-34   6
  2.776802e-02   3.247349e-34   0.000000e+00   7.065616e-35   12
  3.400874e-02   2.226070e-34   3.725290e-10   4.921960e-35   8
  3.926991e-02   1.979974e-35   0.000000e+00   1.696887e-37   6
  4.390509e-02   4.675035e-13   0.000000e+00   0.000000e+00   24
  4.809562e-02   8.046510e-13   7.024475e-10   0.000000e+00   24
  5.553604e-02   3.637461e-35   0.000000e+00   3.514730e-36   12
  5.890486e-02   1.406443e-11   7.947286e-10   1.314581e-12   30
  6.209118e-02   3.043831e-11   0.000000e+00   0.000000e+00   24
  6.512178e-02   1.559465e-11   1.216675e-09   5.053162e-20   24
  6.801748e-02   3.936021e-35   7.450581e-10   8.306749e-36   8
  7.079483e-02   1.510760e-11   9.934107e-10   0.000000e+00   24
  7.346727e-02   2.110555e-12   0.000000e+00   7.062009e-21   48
  7.853982e-02   2.119593e-34   0.000000e+00   2.819741e-35   6
  8.095699e-02   3.476588e-12   1.404895e-09   3.041928e-13   48
  8.330406e-02   1.120324e-11   0.000000e+00   1.353668e-12   36
  8.558678e-02   9.915668e-13   9.934107e-10   3.158226e-21   24
  8.781018e-02   3.764577e-12   0.000000e+00   0.000000e+00   24
  8.997866e-02   1.021030e-12   0.000000e+00   2.233203e-21   48
  9.209610e-02   8.468971e-13   1.404895e-09   0.000000e+00   24
  9.619124e-02   2.952125e-12   1.404895e-09   8.932813e-21   24
  9.817477e-02   5.931667e-13   0.000000e+00   5.534053e-14   30
  1.001190e-01   5.707500e-12   0.000000e+00   4.694740e-13   72
  1.020262e-01   7.468823e-12   1.490116e-09   7.811659e-13   32
  1.057375e-01   7.539951e-13   0.000000e+00   4.992142e-14   72
  1.075451e-01   2.975251e-12   0.000000e+00   0.000000e+00   48
  1.110721e-01   5.543358e-35   0.000000e+00   5.528908e-36   12
  1.127942e-01   1.489878e-12   0.000000e+00   2.013329e-13   48
  1.144905e-01   3.145193e-13   0.000000e+00   1.230220e-14   48
  1.161620e-01   6.954848e-13   1.404895e-09   1.116602e-21   48
  1.178097e-01   5.192055e-14   1.589457e-09   2.001544e-15   30
  1.194348e-01   5.593190e-13   1.404895e-09   0.000000e+00   24
  1.210380e-01   4.860059e-13   2.961779e-09   3.551973e-14   72
  1.241824e-01   1.073623e-12   0.000000e+00   3.158226e-21   24
  1.257251e-01   7.175559e-12   0.000000e+00   1.046525e-12   96
