# power spectrum of chi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.170794e-11   0.000000e+00   0.000000e+00   6
  2.776802e-02   5.525139e-11   0.000000e+00   2.870218e-19   12
  3.400874e-02   1.115144e-11   3.725290e-10   0.000000e+00   8
  3.926991e-02   2.399323e-17   0.000000e+00   9.677651e-26   6
  4.390509e-02   2.729153e-12   0.000000e+00   0.000000e+00   24
  4.809562e-02   4.970220e-13   7.024475e-10   0.000000e+00   24
  5.553604e-02   2.752553e-11   0.000000e+00   1.014775e-19   12
  5.890486e-02   2.133409e-13   7.947286e-10   1.896409e-14   30
  6.209118e-02   1.362816e-13   0.000000e+00   0.000000e+00   24
  6.512178e-02   2.039824e-13   1.216675e-09   5.605894e-22   24
  6.801748e-02   2.416801e-14   7.450581e-10   0.000000e+00   8
  7.079483e-02   3.888475e-13   9.934107e-10   7.927932e-22   24
  7.346727e-02   2.898691e-15   0.000000e+00   1.368627e-25   48
  7.853982e-02   4.894635e-14   0.000000e+00   0.000000e+00   6
  8.095699e-02   6.024619e-14   1.404895e-09   2.819425e-15   48
  8.330406e-02   2.314372e-13   0.000000e+00   2.491418e-14   36
  8.558678e-02   1.408540e-13   9.934107e-10   5.605894e-22   24
  8.781018e-02   3.282257e-14   0.000000e+00   0.000000e+00   24
  8.997866e-02   1.710156e-14   0.000000e+00   0.000000e+00   48
  9.209610e-02   2.341469e-14   1.404895e-09   0.000000e+00   24
  9.619124e-02   7.476945e-14   1.404895e-09   0.000000e+00   24
  9.817477e-02   8.002866e-15   0.000000e+00   1.611671e-15   30
  1.001190e-01   1.992635e-14   0.000000e+00   3.136026e-15   72
  1.020262e-01   1.200733e-13   1.490116e-09   9.662432e-16   32
  1.057375e-01   5.805166e-15   0.000000e+00   3.488263e-16   72
  1.075451e-01   2.397865e-14   0.000000e+00   0.000000e+00   48
  1.110721e-01   1.638963e-12   0.000000e+00   0.000000e+00   12
  1.127942e-01   4.190243e-14   0.000000e+00   5.250627e-15   48
  1.144905e-01   8.241306e-15   0.000000e+00   6.518098e-16   48
  1.161620e-01   1.563503e-13   1.404895e-09   2.802947e-22   48
  1.178097e-01   1.145886e-13   1.589457e-09   1.060350e-14   30
  1.194348e-01   5.437961e-15   1.404895e-09   1.238739e-23   24
  1.210380e-01   1.505994e-14   2.961779e-09   1.791727e-15   72
  1.241824e-01   9.589308e-16   0.000000e+00   0.000000e+00   24
  1.257251e-01   1.102856e-13   0.000000e+00   1.714547e-14   96
  1.272490e-01   3.779917e-15   0.000000e+00   2.189803e-24   48
  1.287550e-01   1.522341e-14   2.433349e-09   6.068559e-23   24
  1.302436e-01   1.736848e-14   2.433349e-09   0.000000e+00   24
  1.317153e-01   3.077406e-15   0.000000e+00   2.559980e-16   72
  1.331707e-01   4.305290e-15   0.000000e+00   0.000000e+00   48
  1.360350e-01   2.374927e-14   1.490116e-09   0.000000e+00   8
  1.374447e-01   7.224692e-14   1.766064e-09   3.439262e-15   54
  1.388401e-01   3.216623e-13   0.000000e+00   5.779199e-14   84
  1.402216e-01   6.573532e-14   0.000000e+00   7.642287e-15   48
  1.415897e-01   1.261615e-14   1.986821e-09   2.477479e-23   24
  1.429446e-01   3.702329e-15   1.873193e-09   2.236193e-16   72
  1.442869e-01   5.089243e-14   0.000000e+00   5.973736e-15   96
  1.469345e-01   3.470852e-14   0.000000e+00   0.000000e+00   48
  1.482407e-01   1.236035e-14   0.000000e+00   1.382113e-15   48
  1.495354e-01   4.768912e-15   1.986821e-09   0.000000e+00   24
  1.508189e-01   1.362207e-15   0.000000e+00   4.028892e-17   72
  1.533539e-01   1.392428e-13   1.873193e-09   1.966917e-15   72
  1.546058e-01   2.566863e-15   0.000000e+00   7.222479e-17   96
  1.570796e-01   1.101986e-14   0.000000e+00   4.954957e-23   6
  1.583021e-01   1.377092e-15   0.000000e+00   5.542875e-17   96
  1.595151e-01   5.658399e-15   1.986821e-09   3.161296e-16   96
  1.607190e-01   3.666406e-14   0.000000e+00   1.401474e-22   24
  1.619140e-01   1.417390e-14   2.809790e-09   1.795874e-15   48
  1.631002e-01   1.556123e-15   0.000000e+00   1.079559e-16   96
  1.642778e-01   1.824150e-14   0.000000e+00   0.000000e+00   48
  1.666081e-01   2.516857e-13   0.000000e+00   6.040302e-14   36
  1.677611e-01   4.612205e-14   3.441276e-09   5.906956e-15   48
  1.689063e-01   7.159764e-15   3.893359e-09   2.132615e-16   120
  1.700437e-01   3.856797e-14   0.000000e+00   1.881147e-15   56
  1.711736e-01   8.004997e-15   1.986821e-09   1.751842e-23   24
  1.722960e-01   3.221515e-14   0.000000e+00   2.996111e-15   96
  1.734112e-01   1.878723e-15   0.000000e+00   0.000000e+00   48
  1.756204e-01   1.168702e-13   0.000000e+00   0.000000e+00   24
  1.767146e-01   3.837418e-14   0.000000e+00   2.749849e-15   102
  1.778021e-01   3.739177e-14   0.000000e+00   5.429515e-15   48
  1.788829e-01   6.479809e-14   0.000000e+00   5.139135e-15   72
  1.799573e-01   1.188872e-14   0.000000e+00   3.503684e-23   48
  1.810253e-01   1.850566e-14   0.000000e+00   2.220232e-15   48
  1.820871e-01   2.942404e-14   4.495664e-09   2.660600e-15   120
  1.841922e-01   1.719430e-14   2.809790e-09   4.954957e-23   24
  1.852358e-01   3.758162e-14   2.649095e-09   2.595522e-15   144
  1.862735e-01   5.211299e-15   3.178914e-09   2.515874e-16   120
  1.873055e-01   8.061117e-15   2.809790e-09   0.000000e+00   48
  1.893526e-01   2.636955e-15   2.809790e-09   0.000000e+00   48
  1.903679e-01   3.561690e-14   2.809790e-09   3.224888e-15   96
  1.930487e-01   1.027264e-14   4.711199e-04   1.000315e-15   72
  1.943761e-01   1.983509e-13   3.532127e-09   5.203162e-14   108
  1.953653e-01   2.288746e-14   0.000000e+00   2.694955e-15   72
  1.963495e-01   3.911558e-15   0.000000e+00   1.638311e-16   30
  1.973288e-01   1.701392e-14   0.000000e+00   8.046276e-16   168
  1.983033e-01   3.075798e-14   0.000000e+00   4.453713e-15   48
  2.002380e-01   6.303915e-16   0.000000e+00   9.298888e-17   72
  2.011984e-01   2.151466e-14   0.000000e+00   1.004836e-15   96
  2.021542e-01   3.988610e-15   5.298191e-09   2.979262e-16   72
  2.031055e-01   5.007003e-14   0.000000e+00   8.201653e-15   72
  2.047049e-01   2.688695e-14   4.350048e-04   2.429523e-15   104
  2.059331e-01   4.584537e-14   3.746387e-09   5.164337e-15   144
  2.087224e-01   2.951451e-14   6.282881e-09   1.527096e-15   96
  2.096439e-01   1.925797e-14   0.000000e+00   1.100236e-15   96
  2.111095e-01   1.492038e-14   4.475232e-04   1.374002e-15   120
  2.123845e-01   6.768609e-15   0.000000e+00   1.733707e-16   120
  2.132902e-01   6.473285e-15   0.000000e+00   9.901345e-16   72
  2.150901e-01   9.635864e-15   0.000000e+00   0.000000e+00   48
  2.159845e-01   1.651349e-14   4.235416e-09   2.072992e-15   78
  2.171286e-01   1.894959e-14   4.007142e-04   1.740211e-15   168
  2.195255e-01   3.713000e-15   3.746387e-09   1.093710e-16   144
  2.204018e-01   1.105674e-14   3.746387e-09   8.547127e-16   144
  2.229436e-01   1.165570e-13   2.307791e-04   2.625509e-14   156
  2.238729e-01   3.527198e-14   4.866699e-09   4.750428e-15   48
  2.247323e-01   6.738200e-15   3.178914e-09   6.688455e-16   120
  2.255884e-01   3.004288e-15   0.000000e+00   1.506936e-17   48
  2.271022e-01   2.440714e-14   3.532495e-04   1.748393e-15   216
  2.289809e-01   8.473603e-14   0.000000e+00   4.060744e-16   48
  2.298212e-01   4.038199e-14   2.809790e-09   2.834540e-15   96
  2.310160e-01   4.958777e-15   4.128272e-04   1.946598e-16   168
  2.323239e-01   1.592391e-14   2.809790e-09   3.503684e-23   48
  2.331522e-01   9.660612e-16   0.000000e+00   8.452593e-17   96
  2.339775e-01   3.061610e-14   0.000000e+00   4.954957e-23   48
  2.356194e-01   2.141107e-14   3.178914e-09   1.020599e-15   30
  2.364362e-01   1.812426e-14   2.809790e-09   2.223687e-15   96
  2.374123e-01   2.353348e-15   3.244455e-04   1.055446e-16   240
  2.386674e-01   5.640405e-15   3.500299e-04   1.760943e-15   32
  2.396752e-01   1.796279e-14   0.000000e+00   1.751919e-15   168
  2.404781e-01   1.620363e-14   0.000000e+00   1.195028e-15   120
  2.420760e-01   5.976315e-15   5.923557e-09   2.486183e-17   72
  2.428710e-01   1.289661e-14   3.746387e-09   5.129134e-16   144
  2.436634e-01   1.306057e-15   0.000000e+00   5.600725e-17   96
  2.444532e-01   4.734919e-14   0.000000e+00   4.373825e-15   96
  2.460253e-01   1.791585e-14   4.588368e-09   9.286148e-16   72
  2.468075e-01   1.067834e-14   3.973643e-09   7.897997e-16   96
  2.483647e-01   1.498312e-15   0.000000e+00   0.000000e+00   24
  2.491396e-01   7.518134e-15   0.000000e+00   4.461841e-16   192
  2.500522e-01   8.298635e-14   2.970416e-04   2.072035e-14   132
  2.514501e-01   1.934916e-14   0.000000e+00   2.219029e-15   96
  2.522156e-01   1.971479e-14   0.000000e+00   1.973075e-15   96
  2.529787e-01   2.079444e-14   3.178914e-09   1.986495e-15   120
  2.544981e-01   1.331005e-15   0.000000e+00   0.000000e+00   48
  2.557435e-01   5.923667e-15   3.599905e-04   5.443584e-16   222
  2.567603e-01   2.964342e-15   0.000000e+00   1.234119e-16   120
  2.575100e-01   3.810255e-14   4.866699e-09   0.000000e+00   24
  2.586015e-01   1.267891e-14   3.715625e-04   1.139665e-15   312
  2.609797e-01   4.541539e-15   3.483547e-04   6.961525e-16   72
  2.619630e-01   7.640027e-15   2.809790e-09   6.141455e-16   96
  2.629726e-01   1.633560e-14   3.547511e-04   8.100547e-16   192
  2.641613e-01   9.129516e-14   4.495664e-09   1.275080e-14   120
  2.648900e-01   3.477991e-15   0.000000e+00   2.480428e-16   144
  2.663415e-01   9.751509e-16   0.000000e+00   1.340975e-24   48
  2.673732e-01   2.089293e-14   3.567146e-04   1.074234e-15   336
  2.685040e-01   4.550775e-14   0.000000e+00   4.623704e-16   48
  2.699360e-01   7.425760e-15   0.000000e+00   4.601100e-16   192
  2.706492e-01   3.983553e-15   0.000000e+00   0.000000e+00   48
  2.726764e-01   3.384247e-15   2.476067e-04   2.363457e-16   56
  2.736844e-01   7.095648e-15   3.180112e-04   7.015840e-16   336
  2.748894e-01   1.509774e-15   3.532127e-09   5.314506e-17   54
  2.759390e-01   4.514962e-15   3.492904e-04   3.541937e-16   240
  2.781181e-01   6.038293e-14   3.344484e-04   1.395150e-14   228
  2.790651e-01   1.341173e-14   3.746387e-09   9.262764e-16   72
  2.799844e-01   2.839145e-15   3.244231e-04   1.065520e-16   144
  2.811298e-01   4.451620e-15   0.000000e+00   1.504685e-16   96
  2.818146e-01   1.058091e-14   4.495664e-09   9.393510e-16   240
  2.831793e-01   9.959144e-15   3.973643e-09   0.000000e+00   24
  2.840530e-01   7.259096e-15   3.064151e-04   3.396106e-16   336
  2.852142e-01   6.089592e-14   0.000000e+00   4.844070e-15   72
  2.862741e-01   5.127152e-15   3.332831e-04   4.625059e-16   168
